# Time (s),Ang (°),Vel (°/s)
0.000,76.311,-0.342
0.040,73.966,1.283
0.080,76.076,-0.467
0.120,73.940,0.963
0.160,75.850,-0.611
0.200,73.902,0.721
0.240,75.559,-0.618
0.280,73.831,0.738
0.320,75.248,-0.302
0.360,73.693,0.963
0.400,74.993,0.057
0.440,73.593,1.238
0.480,74.737,0.246
0.520,73.477,-1.380
0.560,74.543,0.090
0.600,73.472,-1.351
0.640,74.557,0.006
0.680,73.725,-0.835
0.720,74.737,0.773
0.760,74.012,0.543
0.800,74.957,2.446
0.840,74.163,2.905
0.880,74.972,5.334
0.920,74.012,6.306
0.960,74.770,9.082
1.000,73.908,10.281
1.040,74.891,13.630
1.080,74.449,14.960
1.120,75.682,18.182
1.160,75.650,19.729
1.200,77.316,22.969
1.240,77.860,24.551
1.280,79.782,27.976
1.320,80.742,29.784
1.360,82.768,32.869
1.400,84.376,34.042
1.440,86.525,36.663
1.480,88.270,37.547
1.520,90.520,39.736
1.560,92.387,40.872
1.600,94.598,43.197
1.640,96.544,45.089
1.680,98.800,47.538
1.720,100.307,49.241
1.760,102.003,51.106
1.800,103.238,52.224
1.840,104.929,52.701
1.880,106.238,53.168
1.920,108.380,52.689
1.960,110.207,52.560
2.000,113.387,51.605
2.040,115.890,51.426
2.080,119.175,50.593
2.120,121.627,50.191
2.160,124.547,49.871
2.200,126.537,50.198
2.240,129.059,49.357
2.280,130.421,49.277
2.320,132.568,48.355
2.360,133.671,48.216
2.400,135.739,46.970
2.440,137.018,45.750
2.480,138.952,43.683
2.520,140.204,41.922
2.560,142.162,39.610
2.600,142.723,37.625
2.640,144.350,35.283
2.680,144.922,33.147
2.720,146.953,30.923
2.760,147.783,27.165
2.800,149.988,23.514
2.840,150.837,18.903
2.880,152.713,15.031
2.920,153.315,10.502
2.960,154.647,6.916
3.000,154.763,2.471
3.040,155.576,2.106
3.080,155.160,-0.396
3.120,154.300,0.526
3.160,152.483,-1.002
3.200,150.861,0.606
3.240,149.043,-0.601
3.280,147.354,0.615
3.320,145.737,-0.526
3.360,144.138,-0.006
3.400,144.408,-0.800
3.440,144.033,0.093
3.480,145.343,0.281
3.520,146.152,0.965
3.560,148.268,2.890
3.600,149.507,5.697
3.640,151.329,8.517
3.680,152.292,11.035
3.720,153.311,14.127
3.760,154.007,16.452
3.800,154.838,20.048
3.840,155.801,19.935
3.880,155.932,21.827
3.920,156.612,20.458
3.960,157.040,20.482
4.000,157.675,17.461
4.040,157.871,15.931
4.080,158.655,11.629
4.120,158.898,8.592
4.160,160.176,4.264
4.200,160.356,1.533
4.240,161.495,-1.991
4.280,161.710,-3.987
4.320,162.537,-5.549
4.360,162.237,-6.055
4.400,162.252,-7.712
4.440,160.632,-6.999
4.480,159.165,-6.785
4.520,156.722,-5.554
4.560,155.234,-4.777
4.600,153.245,-4.355
4.640,152.612,-3.993
4.680,151.493,-4.180
4.720,151.768,-4.081
4.760,150.871,-4.212
4.800,152.075,-3.297
4.840,152.443,-2.398
4.880,154.212,-0.108
4.920,155.076,2.755
4.960,156.692,6.096
5.000,157.162,8.932
5.040,158.151,11.698
5.080,158.445,13.349
5.120,159.168,14.995
5.160,159.599,15.258
5.200,160.333,16.570
5.240,160.545,15.596
5.280,161.369,15.328
5.320,161.599,13.387
5.360,162.379,12.275
5.400,162.603,10.346
5.440,163.291,9.970
5.480,163.489,9.245
5.520,163.974,9.529
5.560,164.127,9.753
5.600,164.552,9.472
5.640,164.706,9.286
5.680,164.922,9.171
5.720,164.896,8.805
5.760,164.969,8.645
5.800,165.138,8.265
5.840,165.548,8.191
5.880,166.068,7.955
5.920,166.970,7.932
5.960,167.177,7.986
6.000,167.762,8.094
6.040,167.882,8.260
6.080,168.414,8.277
6.120,168.515,8.587
6.160,168.991,8.763
6.200,169.156,9.296
6.240,169.654,8.922
6.280,169.835,8.928
6.320,170.363,8.235
6.360,170.602,7.669
6.400,171.159,7.470
6.440,171.328,7.056
6.480,171.791,6.685
6.520,171.906,5.864
6.560,172.406,4.641
6.600,172.276,2.879
6.640,172.690,-0.169
6.680,172.656,-3.682
6.720,173.105,-6.948
6.760,173.153,-10.527
6.800,173.407,-13.213
6.840,173.230,-15.587
6.880,173.105,-17.174
6.920,172.227,-17.789
6.960,171.294,-17.771
7.000,169.021,-16.998
7.040,166.709,-16.101
7.080,164.277,-15.182
7.120,161.941,-14.837
7.160,160.032,-14.433
7.200,158.690,-14.546
7.240,157.589,-14.148
7.280,157.560,-14.005
7.320,157.689,-13.282
7.360,158.808,-12.118
7.400,159.395,-10.616
7.440,160.544,-7.173
7.480,160.786,-3.443
7.520,161.559,0.644
7.560,161.516,4.266
7.600,162.089,7.735
7.640,162.026,9.959
7.680,162.479,12.125
7.720,162.533,12.227
7.760,162.801,12.390
7.800,163.282,10.505
7.840,163.955,9.065
7.880,164.792,5.611
7.920,165.354,2.623
7.960,166.220,-1.728
8.000,166.657,-4.565
8.040,167.289,-8.537
8.080,167.341,-10.375
8.120,167.601,-13.582
8.160,167.212,-14.953
8.200,166.647,-16.363
8.240,165.033,-16.044
8.280,162.885,-15.858
8.320,160.176,-15.137
8.360,157.864,-14.761
8.400,155.259,-14.393
8.440,153.726,-14.460
8.480,151.613,-14.344
8.520,150.571,-14.201
8.560,149.711,-13.817
8.600,150.447,-13.447
8.640,151.268,-12.553
8.680,152.682,-10.789
8.720,153.545,-8.018
8.760,154.705,-4.980
8.800,155.089,-1.542
8.840,155.814,1.199
8.880,155.981,3.422
8.920,156.548,5.936
8.960,156.454,7.271
9.000,156.604,8.102
9.040,156.402,7.236
9.080,156.471,5.653
9.120,156.192,3.695
9.160,156.631,1.903
9.200,156.218,0.192
9.240,156.463,-0.972
9.280,156.362,-2.564
9.320,156.387,-3.723
9.360,156.192,-4.867
9.400,156.236,-4.850
9.440,155.790,-4.298
9.480,155.638,-2.860
9.520,155.067,-1.082
9.560,154.859,0.385
9.600,154.311,0.815
9.640,153.762,1.987
9.680,153.003,2.467
9.720,152.654,3.308
9.760,152.574,4.112
9.800,153.166,4.945
9.840,154.114,5.699
9.880,155.605,6.675
9.920,156.500,7.539
9.960,157.282,8.530
10.000,157.808,9.522
10.040,158.437,10.530
10.080,159.009,11.995
10.120,159.677,13.239
10.160,160.149,14.162
10.200,160.795,14.217
10.240,161.130,13.482
10.280,161.669,11.617
10.320,161.891,9.210
10.360,162.477,6.972
10.400,162.735,5.283
10.440,163.358,3.189
10.480,163.594,1.855
10.520,163.984,-0.007
10.560,163.947,-1.473
10.600,163.951,-3.771
10.640,163.408,-5.229
10.680,162.973,-7.260
10.720,162.077,-8.917
10.760,161.509,-11.086
10.800,160.359,-12.953
10.840,159.922,-15.496
10.880,159.004,-18.199
10.920,158.498,-21.478
10.960,157.132,-24.524
11.000,156.612,-27.594
11.040,155.322,-30.218
11.080,154.536,-32.803
11.120,153.022,-35.125
11.160,152.115,-37.429
11.200,150.338,-39.562
11.240,148.798,-41.332
11.280,146.412,-43.290
11.320,144.365,-44.824
11.360,141.872,-46.433
11.400,139.777,-47.009
11.440,137.165,-48.473
11.480,134.873,-48.969
11.520,132.134,-49.793
11.560,129.859,-49.879
11.600,127.294,-50.610
11.640,125.290,-50.256
11.680,123.144,-50.253
11.720,121.352,-49.049
11.760,119.525,-48.461
11.800,117.833,-47.273
11.840,116.147,-46.599
11.880,114.701,-44.826
11.920,113.119,-43.651
11.960,111.627,-41.535
12.000,110.134,-40.163
12.040,108.596,-38.040
12.080,107.173,-36.824
12.120,105.596,-35.050
12.160,104.053,-34.042
12.200,102.498,-32.580
12.240,101.304,-31.573
12.280,99.952,-30.247
12.320,98.905,-29.448
12.360,97.729,-28.177
12.400,96.861,-27.296
12.440,95.831,-26.119
12.480,95.105,-25.088
12.520,94.119,-23.981
12.560,93.461,-22.881
12.600,92.574,-21.604
12.640,91.949,-20.560
12.680,91.143,-19.677
12.720,90.578,-18.839
12.760,89.790,-18.102
12.800,89.239,-17.440
12.840,88.525,-16.856
12.880,87.988,-16.294
12.920,87.291,-15.804
12.960,86.770,-15.246
13.000,86.050,-14.867
13.040,85.562,-14.444
13.080,84.881,-14.061
13.120,84.424,-13.671
13.160,83.777,-13.350
13.200,83.377,-12.988
13.240,82.795,-12.646
13.280,82.462,-12.336
13.320,81.922,-11.976
13.360,81.568,-11.629
13.400,81.019,-11.258
13.440,80.700,-10.877
13.480,80.206,-10.521
13.520,79.898,-10.182
13.560,79.400,-9.838
13.600,79.122,-9.492
13.640,78.657,-9.196
13.680,78.407,-8.906
13.720,77.988,-8.674
13.760,77.763,-8.444
13.800,77.348,-8.167
13.840,77.146,-7.882
13.880,76.736,-7.633
13.920,76.554,-7.376
13.960,76.184,-7.125
14.000,76.020,-6.827
14.040,75.670,-6.601
14.080,75.523,-6.311
14.120,75.167,-6.108
14.160,75.034,-5.893
14.200,74.713,-5.710
14.240,74.594,-5.470
14.280,74.305,-5.305
14.320,74.198,-5.042
14.360,73.938,-4.894
14.400,73.841,-4.657
14.440,73.607,-4.524
14.480,73.520,-4.289
14.520,73.273,-4.169
14.560,73.195,-3.906
14.600,72.973,-3.798
14.640,72.902,-3.561
14.680,72.702,-3.515
14.720,72.638,-3.302
14.760,72.458,-3.260
14.800,72.401,-3.069
14.840,72.239,-3.009
14.880,72.188,-2.836
14.920,72.042,-2.782
14.960,71.995,-2.581
15.000,71.864,-2.487
15.040,71.782,-2.306
15.080,71.664,-2.221
15.120,71.589,-2.053
15.160,71.483,-1.982
15.200,71.434,-1.830
15.240,71.339,-1.767
15.280,71.295,-1.564
15.320,71.209,-1.500
15.360,71.206,-1.317
15.400,71.128,-1.259
15.440,71.125,-1.095
15.480,71.060,-0.992
15.520,71.053,-0.845
